ebn0:2.07, esn0:4.00
总码率约为:0.390
Suppose Average Power is: 1
Actual Power is: 1.0001269966014448
EsN0 = 4.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.025, temp_ber = 0.0014204545454545455
temp_fer = 0.03, temp_ber = 0.001590909090909091
temp_fer = 0.041666666666666664, temp_ber = 0.0017518939393939394
temp_fer = 0.04285714285714286, temp_ber = 0.0015963203463203463
temp_fer = 0.0375, temp_ber = 0.0013967803030303031
temp_fer = 0.03333333333333333, temp_ber = 0.0012415824915824915
temp_fer = 0.035, temp_ber = 0.0013257575757575758
temp_fer = 0.031818181818181815, temp_ber = 0.0012052341597796144
temp_fer = 0.029166666666666667, temp_ber = 0.0011047979797979798
temp_fer = 0.03076923076923077, temp_ber = 0.0011873543123543124
temp_fer = 0.02857142857142857, temp_ber = 0.00110254329004329
temp_fer = 0.02666666666666667, temp_ber = 0.001029040404040404
temp_fer = 0.03125, temp_ber = 0.001142282196969697
temp_fer = 0.03823529411764706, temp_ber = 0.0011642156862745098
temp_fer = 0.03611111111111111, temp_ber = 0.001099537037037037
temp_fer = 0.034210526315789476, temp_ber = 0.0010416666666666667
temp_fer = 0.0325, temp_ber = 0.0009895833333333334
temp_fer = 0.03333333333333333, temp_ber = 0.0010281385281385282
temp_fer = 0.031818181818181815, temp_ber = 0.000981404958677686
temp_fer = 0.030434782608695653, temp_ber = 0.0009387351778656126
temp_fer = 0.03125, temp_ber = 0.0009114583333333333
temp_fer = 0.03, temp_ber = 0.000875
temp_fer = 0.028846153846153848, temp_ber = 0.0008413461538461539
temp_fer = 0.027777777777777776, temp_ber = 0.0008101851851851852
temp_fer = 0.026785714285714284, temp_ber = 0.00078125
temp_fer = 0.02586206896551724, temp_ber = 0.0007543103448275862
temp_fer = 0.025, temp_ber = 0.0007291666666666667
temp_fer = 0.025806451612903226, temp_ber = 0.000739247311827957
temp_fer = 0.0265625, temp_ber = 0.0008049242424242424
temp_fer = 0.025757575757575757, temp_ber = 0.0007805325987144169
temp_fer = 0.026470588235294117, temp_ber = 0.0007798573975044563
temp_fer = 0.027142857142857142, temp_ber = 0.0007792207792207792
temp_fer = 0.02638888888888889, temp_ber = 0.0007575757575757576
temp_fer = 0.025675675675675677, temp_ber = 0.0007371007371007371
temp_fer = 0.025, temp_ber = 0.0007177033492822966
temp_fer = 0.02435897435897436, temp_ber = 0.0006993006993006993
temp_fer = 0.025, temp_ber = 0.0007504734848484848
temp_fer = 0.024390243902439025, temp_ber = 0.0007321692535107169
temp_fer = 0.023809523809523808, temp_ber = 0.0007147366522366523
temp_fer = 0.023255813953488372, temp_ber = 0.0006981148696264976
temp_fer = 0.022727272727272728, temp_ber = 0.0006822486225895317
temp_fer = 0.022222222222222223, temp_ber = 0.0006670875420875421
temp_fer = 0.021739130434782608, temp_ber = 0.0006525856389986824
temp_fer = 0.02127659574468085, temp_ber = 0.0006387008381689232
temp_fer = 0.020833333333333332, temp_ber = 0.0006253945707070707
temp_fer = 0.022448979591836733, temp_ber = 0.0007421150278293135
temp_fer = 0.022, temp_ber = 0.0007272727272727272
temp_fer = 0.021568627450980392, temp_ber = 0.00071301247771836
temp_fer = 0.021153846153846155, temp_ber = 0.0006993006993006993
temp_fer = 0.020754716981132074, temp_ber = 0.0006861063464837049
temp_fer = 0.020370370370370372, temp_ber = 0.0006734006734006734
temp_fer = 0.02, temp_ber = 0.0006611570247933885
temp_fer = 0.020535714285714286, temp_ber = 0.0006679518398268399
temp_fer = 0.02017543859649123, temp_ber = 0.0006562333864965444
temp_fer = 0.019827586206896553, temp_ber = 0.0006449190177638454
temp_fer = 0.019491525423728815, temp_ber = 0.0006339881869542887
temp_fer = 0.02, temp_ber = 0.000651830808080808
temp_fer = 0.019672131147540985, temp_ber = 0.0006411450571286636
temp_fer = 0.020161290322580645, temp_ber = 0.0006582966764418377
temp_fer = 0.020634920634920634, temp_ber = 0.000677910052910053
temp_fer = 0.0203125, temp_ber = 0.0006673177083333333
temp_fer = 0.021538461538461538, temp_ber = 0.0007386363636363636
temp_fer = 0.021212121212121213, temp_ber = 0.0007274449035812673
temp_fer = 0.020895522388059702, temp_ber = 0.0007165875169606512
temp_fer = 0.020588235294117647, temp_ber = 0.0007060494652406417
temp_fer = 0.020289855072463767, temp_ber = 0.0006958168642951252
temp_fer = 0.02, temp_ber = 0.0006858766233766234
temp_fer = 0.020422535211267606, temp_ber = 0.0006775501493811352
temp_fer = 0.021527777777777778, temp_ber = 0.0007194339225589226
temp_fer = 0.021917808219178082, temp_ber = 0.0007264425072644251
temp_fer = 0.0222972972972973, temp_ber = 0.0007524570024570025
temp_fer = 0.022, temp_ber = 0.0007424242424242425
temp_fer = 0.021710526315789475, temp_ber = 0.0007326555023923445
temp_fer = 0.02142857142857143, temp_ber = 0.0007231404958677686
temp_fer = 0.021153846153846155, temp_ber = 0.0007138694638694639
temp_fer = 0.021518987341772152, temp_ber = 0.0007467874952052167
temp_fer = 0.02125, temp_ber = 0.0007374526515151515
temp_fer = 0.020987654320987655, temp_ber = 0.0007283482977927423
temp_fer = 0.020731707317073172, temp_ber = 0.0007194660014781966
temp_fer = 0.020481927710843374, temp_ber = 0.000710797736400146
temp_fer = 0.02023809523809524, temp_ber = 0.0007023358585858586
temp_fer = 0.02, temp_ber = 0.0006940730837789661
temp_fer = 0.020930232558139535, temp_ber = 0.0007652836504580691
temp_fer = 0.020689655172413793, temp_ber = 0.0007564872866597004
temp_fer = 0.021022727272727273, temp_ber = 0.000753271349862259
temp_fer = 0.020786516853932586, temp_ber = 0.0007448076268300988
temp_fer = 0.022222222222222223, temp_ber = 0.0007986111111111112
temp_fer = 0.02197802197802198, temp_ber = 0.0007898351648351648
temp_fer = 0.022282608695652174, temp_ber = 0.0008038949275362318
temp_fer = 0.02258064516129032, temp_ber = 0.0008186705767350929
temp_fer = 0.022340425531914895, temp_ber = 0.0008099613152804642
temp_fer = 0.022631578947368423, temp_ber = 0.0008094098883572568
temp_fer = 0.022395833333333334, temp_ber = 0.0008009785353535353
temp_fer = 0.02268041237113402, temp_ber = 0.0007946735395189003
temp_fer = 0.02346938775510204, temp_ber = 0.0008715986394557823
temp_fer = 0.023232323232323233, temp_ber = 0.0008627946127946127
temp_fer = 0.023, temp_ber = 0.0008541666666666667
temp_fer = 0.02277227722772277, temp_ber = 0.0008457095709570957
temp_fer = 0.022549019607843137, temp_ber = 0.0008374183006535947
temp_fer = 0.02233009708737864, temp_ber = 0.0008292880258899677
temp_fer = 0.022115384615384617, temp_ber = 0.0008213141025641026
temp_fer = 0.021904761904761906, temp_ber = 0.0008134920634920635
temp_fer = 0.022169811320754716, temp_ber = 0.000813857918810749
temp_fer = 0.021962616822429906, temp_ber = 0.0008062517700368168
temp_fer = 0.02175925925925926, temp_ber = 0.0007987864758698092
temp_fer = 0.022018348623853212, temp_ber = 0.0008140464275785377
temp_fer = 0.022727272727272728, temp_ber = 0.0008290289256198347
temp_fer = 0.02252252252252252, temp_ber = 0.0008215601965601965
temp_fer = 0.022321428571428572, temp_ber = 0.0008142248376623376
temp_fer = 0.02256637168141593, temp_ber = 0.0008112094395280236
